DATE,JPNRGDPEXP
1994-01-01,425123.7
1994-04-01,423052.6
1994-07-01,427846.6
1994-10-01,426083.4
1995-01-01,430979.9
1995-04-01,435477.5
1995-07-01,440549.8
1995-10-01,441622.9
1996-01-01,445218.0
1996-04-01,450745.5
1996-07-01,450951.0
1996-10-01,456168.6
1997-01-01,457516.1
1997-04-01,454455.5
1997-07-01,455489.0
1997-10-01,455635.3
1998-01-01,450533.2
1998-04-01,448653.7
1998-07-01,449448.4
1998-10-01,452940.8
1999-01-01,447206.2
1999-04-01,448736.1
1999-07-01,451267.4
1999-10-01,451521.9
2000-01-01,459690.7
2000-04-01,460966.7
2000-07-01,461326.5
2000-10-01,465817.4
2001-01-01,468353.3
2001-04-01,466048.2
2001-07-01,461298.3
2001-10-01,459882.7
2002-01-01,460705.1
2002-04-01,464092.0
2002-07-01,465566.7
2002-10-01,466774.5
2003-01-01,467171.2
2003-04-01,470093.5
2003-07-01,471908.6
2003-10-01,477130.2
2004-01-01,480510.8
2004-04-01,480573.2
2004-07-01,483547.0
2004-10-01,482563.2
2005-01-01,484939.8
2005-04-01,488152.4
2005-07-01,492838.4
2005-10-01,493716.5
2006-01-01,494644.0
2006-04-01,495849.1
2006-07-01,494960.6
2006-10-01,501425.2
2007-01-01,505114.8
2007-04-01,505690.5
2007-07-01,503193.4
2007-10-01,505542.0
2008-01-01,506849.3
2008-04-01,504925.4
2008-07-01,498659.6
2008-10-01,486516.6
2009-01-01,463269.3
2009-04-01,472980.2
2009-07-01,473210.4
2009-10-01,479682.9
2010-01-01,483829.9
2010-04-01,490392.5
2010-07-01,499242.7
2010-10-01,495128.3
2011-01-01,488224.0
2011-04-01,485049.8
2011-07-01,497107.9
2011-10-01,496302.6
2012-01-01,502331.4
2012-04-01,498665.4
2012-07-01,496737.0
2012-10-01,498037.5
2013-01-01,504148.9
2013-04-01,508047.6
2013-07-01,512272.6
2013-10-01,512097.0
2014-01-01,517197.1
2014-04-01,507286.2
2014-07-01,507735.8
2014-10-01,510245.0
2015-01-01,517247.9
2015-04-01,517843.6
2015-07-01,517538.9
2015-10-01,515530.6
2016-01-01,518105.2
2016-04-01,518887.1
2016-07-01,520040.9
2016-10-01,521482.3
2017-01-01,527460.5
2017-04-01,529427.7
2017-07-01,532431.8
2017-10-01,534808.9
2018-01-01,532279.4
2018-04-01,534917.5
2018-07-01,530400.1
2018-10-01,533580.6
2019-01-01,536496.7
2019-04-01,539495.1
2019-07-01,539667.3
2019-10-01,529883.0
